,ID,BoroCode,Borough,CD,CDName,TaxBlock,TaxLot,FacName,FacAddress,ZipCode,FacType,FT_Decode,FT_Report,FT_Map,GroupType,GroupType_Decode,NewGroupType,NewGroupType_Decode,NewSgroup,NewSgroup_Decode,NewFacType,NewFT_Decode,Sgroup,Sgroup_Decode,Capacity,CapType,CT_Decode,CT_Report,Acreage,PKtoG8,G9toG12,AgencyOper,NewAgencyOper_Decode,AgencyOper_Report,AgencyOver,NewAgencyOver_Decode,AgencyOver_Report,CT2010,Tract2010,CouncilDis,SchoolDist,PolicePrct,HealthArea,BBL,XCoord,YCoord,SvcArea,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip
1986,1.13E+13,3,BK,318,BROOKLYN COMMUNITY DISTRICT 18,8406,35,CROWN HEIGHTS YESHIVAH,6363 Ave U,11234,1101,Elementary School - Private/Parochial,Elementary School - Private/Parochial,Elementary School - Private,1,SCHOOLS,1,Educational Facilities,1c,Private/Parochial Elementary and Secondary Schools,1c01,Private/Parochial Elementary School,12,Private/Parochial Elementary and Secondary Schools,287,1,Day Care or Head Start Center Capacity,Children,NA,287,0,90,Proprietary,Private,50,NYS Education Department / Board of Regents ,NYSED,698,698,46,22,63,8822,3084060035,1008419,163872,L,40.61622002,-73.91265892,1,range_interpolation,6363,Ave U,Brooklyn,NY,Kings County,11234
11314,15000MZ282,1,MN,101,MANHATTAN COMMUNITY DISTRICT 1,NA,NA,GREENSTREET,Centre St / Park Row & Brooklyn Bridge Appr,NA,1515,Joint NYCDOT/DPR Landscaped Area (Greenstreet),Joint NYCDOT/DPR Landscaped Area,Greenstreet,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c04,Joint NYCDOT/DPR Landscaped Area (Greenstreet),22,Parklands,0.065,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.065,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,24,NYC Department of Transportation ,NYC DOT,NA,NA,NA,NA,NA,NA,NA,982965,198819,L,40.712261,-74.00492,0.86,intersection,,Centre St,New York,NY,New York County,10007
7385,15000B029,3,BK,309,BROOKLYN COMMUNITY DISTRICT 9,NA,NA,EASTERN PARKWAY,Eastern Pkwy. bet. Grand Army Plaza and Ralph Ave.,NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,63.636,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,63.636,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,NA,994803,183872,R,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
4984,15000X186,2,BX,208,BRONX COMMUNITY DISTRICT 8,5918,380,RIVERDALE PLAYGROUND,Hudson Manor Ter bet. W 237 St and W 236 St,NA,1511,Park/Playground - NYC,Park/Playground - NYC,NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c01,Park/Playground - NYC,22,Parklands,2.58,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,2.58,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,31,NYC Department of Parks & Recreation / Department of Education ,NYC DPR/DOE,NA,NA,NA,NA,NA,NA,2059180380,1007774,262715,L,40.887357,-73.915808,1,intersection,,Hudson Manor Ter,Bronx,NY,Bronx County,10463
10645,15000QZ196,4,QN,401,QUEENS COMMUNITY DISTRICT 1,NA,NA,GREENSTREET,Broadway & Vernon Bl At 11 St,NA,1515,Joint NYCDOT/DPR Landscaped Area (Greenstreet),Joint NYCDOT/DPR Landscaped Area,Greenstreet,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c04,Joint NYCDOT/DPR Landscaped Area (Greenstreet),22,Parklands,0.013,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.013,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,24,NYC Department of Transportation ,NYC DOT,NA,NA,NA,NA,NA,NA,NA,1001972,218972,L,40.746036,-73.988592,1,street_center,,Broadway,New York,NY,New York County,10001
3284,15000Q008,4,QN,413,QUEENS COMMUNITY DISTRICT 13,13538,3,BROOKVILLE PARK,"S. Conduit Ave., 149 Ave. bet. 232 St. and 235 St.",NA,1511,Park/Playground - NYC,Park/Playground - NYC,NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c01,Park/Playground - NYC,22,Parklands,89.946,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,89.946,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,4135380003,1054668,179702,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
9356,15000QZ625,4,QN,413,QUEENS COMMUNITY DISTRICT 13,NA,NA,GREENSTREET,Springfield Blvd bet 116 Rd & Linden Blvd (2),NA,1515,Joint NYCDOT/DPR Landscaped Area (Greenstreet),Joint NYCDOT/DPR Landscaped Area,Greenstreet,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c04,Joint NYCDOT/DPR Landscaped Area (Greenstreet),22,Parklands,0.009,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.009,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,24,NYC Department of Transportation ,NYC DOT,NA,NA,NA,NA,NA,NA,NA,1055397,193202,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
7248,15000M298,1,MN,110,MANHATTAN COMMUNITY DISTRICT 10,1726,14,UNITY GARDENS,W. 128. St. bet.ween 5 Ave. and Lenox Ave.,NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,0.129,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.129,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,1017260014,1000124,234148,L,40.809692,-73.944082,1,intersection,,Lenox Ave,New York,NY,New York County,10027
11115,15000MZ322,1,MN,103,MANHATTAN COMMUNITY DISTRICT 3,NA,NA,GREENSTREET,Grand St & Clinton St,NA,1515,Joint NYCDOT/DPR Landscaped Area (Greenstreet),Joint NYCDOT/DPR Landscaped Area,Greenstreet,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c04,Joint NYCDOT/DPR Landscaped Area (Greenstreet),22,Parklands,0.005,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.005,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,24,NYC Department of Transportation ,NYC DOT,NA,NA,NA,NA,NA,NA,NA,987908,200127,L,40.715952,-73.986721,1,intersection,,Clinton St,New York,NY,New York County,10002
9186,15000X110,2,BX,208,BRONX COMMUNITY DISTRICT 8,NA,NA,HENRY HUDSON PARKWAY,Harlem River to the Saw Mill River Pkwy,NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,54.1,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,54.1,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,30,NYC Department of Parks & Recreation / Department of Transportation ,NYC DPR/DOT,NA,NA,NA,NA,NA,NA,NA,1010627,267468,L,40.84702,-73.928747,1,street_center,,Harlem River Dr,New York,NY,New York County,10034
5062,15000M200,1,MN,107,MANHATTAN COMMUNITY DISTRICT 7,1862,11,BOOKER T. WASHINGTON PLAYGROUND,"W. 107 St. to W. 108 St., Columbus Ave. and Amsterdam Ave.",NA,1511,Park/Playground - NYC,Park/Playground - NYC,NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c01,Park/Playground - NYC,22,Parklands,1.441,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,1.441,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,31,NYC Department of Parks & Recreation / Department of Education ,NYC DPR/DOE,NA,NA,NA,NA,NA,NA,1018620011,994281,231085,L,40.801111,-73.965215,1,intersection,,Amsterdam Ave,New York,NY,New York County,10025
10492,15000QZ954,4,QN,402,QUEENS COMMUNITY DISTRICT 2,NA,NA,GREENSTREET,39 Ave & Barnett Ave,NA,1515,Joint NYCDOT/DPR Landscaped Area (Greenstreet),Joint NYCDOT/DPR Landscaped Area,Greenstreet,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c04,Joint NYCDOT/DPR Landscaped Area (Greenstreet),22,Parklands,0.037,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.037,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,24,NYC Department of Transportation ,NYC DOT,NA,NA,NA,NA,NA,NA,NA,1006936,212359,L,40.72355671,-73.98535243,1,range_interpolation,39,Ave A,New York,NY,New York County,10009
21706,6111BIC1409,4,QN,401,QUEENS COMMUNITY DISTRICT 1,474,60,VEMA CONTRACTING CORP.,38-68 11 St,11101,6111,Commercial Waste Carter Garage,Commercial Waste Carter Garage,Commercial Waste Carter Garage,12,WASTE MANAGEMENT FACILITIES,6,Transportation & Waste Facilities,6d,Operational Vehicle Storage Facilities,6d11,Commercial Waste Carter Garage,121,Waste Management Facilities,NA,99,Not Applicable or Not Collected For This Facility Type,NA,NA,NA,NA,90,Proprietary,Private,37,NYC Business Integrity Commission ,NYC BIC,85,85,26,30,114,710,4004740060,999911,215051,L,40.75686242,-73.94335108,1,rooftop,38-068,11th St,Long Island City,NY,Queens County,11101
4988,15000B347,3,BK,303,BROOKLYN COMMUNITY DISTRICT 3,1518,1,CARVER PLAYGROUND,Sumpter St. to Marion St. bet. Howard Ave. and Ralph Ave.,NA,1511,Park/Playground - NYC,Park/Playground - NYC,NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c01,Park/Playground - NYC,22,Parklands,0.964,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.964,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,31,NYC Department of Parks & Recreation / Department of Education ,NYC DPR/DOE,NA,NA,NA,NA,NA,NA,3015180001,1006284,187138,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
4205,15000M029,1,MN,112,MANHATTAN COMMUNITY DISTRICT 12,2180,629,FORT TRYON PARK,"Riverside Dr To Broadway, W 192 St To Dyckman St",NA,1511,Park/Playground - NYC,Park/Playground - NYC,NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c01,Park/Playground - NYC,22,Parklands,67.213,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,67.213,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,1021800629,1002552,251935,L,40.807595,-73.966978,1,street_center,,Riverside Dr,New York,NY,New York County,10025
13872,317003357N1699,4,QN,413,QUEENS COMMUNITY DISTRICT 13,10670,35,WINDSOR PARK NURSING HOME,212-40 Hillside Ave,11427,3101,Residential Health Care Facility (Nursing Home),Residential Health Care Facility,Res Health Care Fac,4,"NURSING HOMES, HOSPITALS, HOSPICES, AND AMBULATORY PROGRAMS",4,Hospitals & Health Service Facilities,4b,Nursing Homes and Hospices,4b01,Nursing Home,41,"Nursing Homes, Hospitals, Hospices and Hospital Inpatient Units",70,2,Certified Hospital Beds or Residential or Correctional Facility Beds,Beds,NA,NA,NA,90,Proprietary,Private,54,NYS Department of Health ,NYS DOH,552,552,23,29,105,2910,4106700035,1052776,203569,R,40.72536148,-73.752668,1,rooftop,212-040,Hillside Ave,Queens Village,NY,Queens County,11427
14989,366701100A,1,MN,104,MANHATTAN COMMUNITY DISTRICT 4,724,10,HUDSON GUILD PAULA B. BALSER COUNSELING SERVICE,441 W 26 St,10001,3609,Clinic Treatment - Mental Health,Clinic Treatment - Mental Health,Outp Mental Health Svc,6,MENTAL HEALTH SERVICES,4,Hospitals & Health Service Facilities,4f,Mental Health Facilities - Outpatient,4f06,Clinic Treatment,62,Mental Health Services - Non-Residential,NA,98,Unknown For This Record,NA,NA,NA,NA,91,Not For Profit,NFP,56,NYS Office of Mental Health ,NYS OMH,97,97,3,2,10,5500,1007240010,983862,212393,L,40.74954855,-74.00151063,1,rooftop,441,W 26th St,New York,NY,New York County,10001
6310,15000Q135,4,QN,407,QUEENS COMMUNITY DISTRICT 7,NA,NA,CROSS ISLAND PARKWAY,Whitestone Exwy. at 13 Ave. to the Linden Blvd and the Belt Pkwy.,NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,326.895,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,326.895,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,NA,1041043,225703,R,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
70,1.03E+13,4,QN,408,QUEENS COMMUNITY DISTRICT 8,6927,22,PS 173 FRESH MEADOW,174-10 67 Ave,11365,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,930,1,Day Care or Head Start Center Capacity,Children,NA,930,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,1223,1223,24,26,107,2021,4069270022,1040885,206793,L,40.73430651,-73.7952565,1,rooftop,174-010,67th Ave,Fresh Meadows,NY,Queens County,11365
18862,4100DC18801,5,SI,502,STATEN ISLAND COMMUNITY DISTRICT 2,3122,20,"SMILES AROUND US FOR INFANTS AND TODDLERS, INC.",343 Sand Lane,10305,4102,Group Day Care - Private,Group Day Care - Private,Group Day Care - Private,8,DAYCARE AND RESIDENTIAL FACILITIES FOR CHILDREN,5,Housing & Social Service Facilities,5b,Childcare Facilities,5b02,Group Day Care - Private,82,Daycare and Headstart Facilities,21,1,Day Care or Head Start Center Capacity,Children,NA,NA,NA,90,Proprietary,Private,14,NYC Department of Health & Mental Hygiene ,NYC DOHMH,74,74,50,31,122,910,5031220020,965568,154688,L,40.59128324,-74.06730313,1,rooftop,343,Sand Ln,Staten Island,NY,Richmond County,10305
679,1.03E+13,3,BK,306,BROOKLYN COMMUNITY DISTRICT 6,437,1,PS 32 SAMUELS MILLS SPROLE,317 Hoyt St,11231,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,425,1,Day Care or Head Start Center Capacity,Children,NA,425,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,75,75,39,15,76,2500,3004370001,986707,187077,L,40.68042752,-73.99182477,1,rooftop,317,Hoyt St,Brooklyn,NY,Kings County,11231
10428,15000BZ449,3,BK,318,BROOKLYN COMMUNITY DISTRICT 18,NA,NA,GREENSTREET,Bergen Ave bet Ave L and Ave M (E),NA,1515,Joint NYCDOT/DPR Landscaped Area (Greenstreet),Joint NYCDOT/DPR Landscaped Area,Greenstreet,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c04,Joint NYCDOT/DPR Landscaped Area (Greenstreet),22,Parklands,0.147,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.147,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,24,NYC Department of Transportation ,NYC DOT,NA,NA,NA,NA,NA,NA,NA,1008778,167642,L,40.815698,-73.916771,1,street_center,,Bergen Ave,Bronx,NY,Bronx County,10455
15695,3775400444,4,QN,408,QUEENS COMMUNITY DISTRICT 8,9715,228,"ANIBIC, INC.",139-09 84 Dr,11435,3703,Individualized Residential Alternative - Developmental Disability,Community Residence - Dev Disability,Res Dev Disability Svc,7,DEVELOPMENTAL DISABILITIES SERVICES,4,Hospitals & Health Service Facilities,4g,Developmental Disabilities Service Facilities - Inpatient,4g03,Individualized Residential,71,Developmental Disabilities Services - Residential,7,2,Certified Hospital Beds or Residential or Correctional Facility Beds,Beds,NA,NA,NA,91,Not For Profit,NFP,57,NYS Office for People with Developmental Disabilities ,NYS OPWDD,220.02,22002,24,28,107,2720,4097150228,1034853,198050,R,40.70953242,-73.81765552,1,rooftop,139-009,84th Dr,Jamaica,NY,Queens County,11435
13645,327001009H9682,3,BK,313,BROOKLYN COMMUNITY DISTRICT 13,7061,1,MOBILE MEDICAL 4,2905 W 19 St,11224,3204,Mobile Hospital Extension Clinic,Mobile Hospital Extension Clinic,Hospital Extension Clinic,4,"NURSING HOMES, HOSPITALS, HOSPICES, AND AMBULATORY PROGRAMS",4,Hospitals & Health Service Facilities,4a,"Hospitals, Clinics, and EMS Facilities",4a06,Mobile Hospital Extension Clinic,42,Ambulatory Facilities and Programs,NA,98,Unknown For This Record,NA,NA,NA,NA,12,NYC Health & Hospitals Corporation ,NYC HHC,54,NYS Department of Health ,NYS DOH,326,326,47,21,60,9020,3070610001,988237,149231,L,40.57630565,-73.98566933,1,rooftop,2905,W 19th St,Brooklyn,NY,Kings County,11224
15342,3761450474,2,BX,205,BRONX COMMUNITY DISTRICT 5,3149,18,INSTITUTE OF APPLIED HUMAN DYNAMICS,2036 Ryer Ave,10457,3701,Intermediate Care Facility - Residential Developmental Disability,Intermediate Care Facility - Resid Dev Disability,Res Dev Disability Svc,7,DEVELOPMENTAL DISABILITIES SERVICES,4,Hospitals & Health Service Facilities,4g,Developmental Disabilities Service Facilities - Inpatient,4g01,Intermediate Care Facility,71,Developmental Disabilities Services - Residential,10,2,Certified Hospital Beds or Residential or Correctional Facility Beds,Beds,NA,NA,NA,91,Not For Profit,NFP,57,NYS Office for People with Developmental Disabilities ,NYS OPWDD,381,381,15,9,46,1700,2031490018,1011634,249493,R,40.85145127,-73.90113552,1,rooftop,2036,Ryer Ave,Bronx,NY,Bronx County,10457
3743,15000Q098,4,QN,404,QUEENS COMMUNITY DISTRICT 4,1497,20,FRANK D. O'CONNOR PLAYGROUND,"Broadway, Woodside Ave. bet. 77 St. and Baxter Ave.",NA,1511,Park/Playground - NYC,Park/Playground - NYC,NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c01,Park/Playground - NYC,22,Parklands,1.537,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,1.537,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,4014970020,1015392,210661,L,40.746036,-73.988592,1,street_center,,Broadway,New York,NY,New York County,10001
11255,15000BZ67,3,BK,306,BROOKLYN COMMUNITY DISTRICT 6,NA,NA,GREENSTREET,"Columbia St, Bqe Southbound",NA,1515,Joint NYCDOT/DPR Landscaped Area (Greenstreet),Joint NYCDOT/DPR Landscaped Area,Greenstreet,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c04,Joint NYCDOT/DPR Landscaped Area (Greenstreet),22,Parklands,0.053,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.053,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,24,NYC Department of Transportation ,NYC DOT,NA,NA,NA,NA,NA,NA,NA,984272,190805,L,40.716455,-73.980576,1,street_center,,Columbia St,New York,NY,New York County,10002
11741,1.50E+12,5,SI,503,STATEN ISLAND COMMUNITY DISTRICT 3,7120,34,CLAY PIT PONDS STATE PARK PRESERVE,"West Shore Exwy, Arthur Kill Rd, Englewood Ave, Chemical Ln",NA,1531,New York State Park,New York State Park,New York State Park,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c07,New York State Park,22,Parklands,262,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,262,NA,NA,52,"NYS Office of Parks, Recreation and Historic Preservation ",NYS OPRHP,52,"NYS Office of Parks, Recreation and Historic Preservation ",NYS OPRHP,NA,NA,NA,NA,NA,NA,5071200034,921700,136513,R,40.723631,-74.011507,1,street_center,,12th Ave,New York,NY,New York County,10013
9961,15000QZ750,4,QN,414,QUEENS COMMUNITY DISTRICT 14,NA,NA,GREENSTREET,Rockaway Beach Blvd bet Beach 136 & 137 Sts,NA,1515,Joint NYCDOT/DPR Landscaped Area (Greenstreet),Joint NYCDOT/DPR Landscaped Area,Greenstreet,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c04,Joint NYCDOT/DPR Landscaped Area (Greenstreet),22,Parklands,0.07,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.07,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,24,NYC Department of Transportation ,NYC DOT,NA,NA,NA,NA,NA,NA,NA,1024814,148254,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
8601,15000R157,5,SI,503,STATEN ISLAND COMMUNITY DISTRICT 3,6169,103,SLEIGHT FAMILY GRAVEYARD,Rossvile Ave. and Arthur Kill Rd.,NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,0.231,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.231,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,5061690103,925174,142075,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
1124,1.03E+13,1,MN,105,MANHATTAN COMMUNITY DISTRICT 5,878,16,SCHOOL OF THE FUTURE HIGH SCHOOL,127 E 22 St,10010,1004,Junior/Senior High School - Public,Junior/Senior High School - Public,Junior/Senior High School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a04,Public Junior/Senior High School,11,Public Elementary and Secondary Schools,714,1,Day Care or Head Start Center Capacity,Children,NA,294,420,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,68,68,2,2,13,5300,1008780016,988317,208559,R,40.73902467,-73.98541612,1,rooftop,127,E 22nd St,New York,NY,New York County,10010
17800,4100DC32347,1,MN,208,BRONX COMMUNITY DISTRICT 8,2215,116,REACH ONE TO TEACH ONE,5480 Broadway,10463,4102,Group Day Care - Private,Group Day Care - Private,Group Day Care - Private,8,DAYCARE AND RESIDENTIAL FACILITIES FOR CHILDREN,5,Housing & Social Service Facilities,5b,Childcare Facilities,5b02,Group Day Care - Private,82,Daycare and Headstart Facilities,40,1,Day Care or Head Start Center Capacity,Children,NA,NA,NA,90,Proprietary,Private,14,NYC Department of Health & Mental Hygiene ,NYC DOHMH,309,309,10,10,50,110,1022150116,1009741,258029,L,40.87611667,-73.90677103,1,rooftop,5480,Broadway,Bronx,NY,Bronx County,10463
2176,1.13E+13,3,BK,312,BROOKLYN COMMUNITY DISTRICT 12,5599,31,YESHIVA BETH HILLEL OF KRASNA,1364-66 42 St,11219,1101,Elementary School - Private/Parochial,Elementary School - Private/Parochial,Elementary School - Private,1,SCHOOLS,1,Educational Facilities,1c,Private/Parochial Elementary and Secondary Schools,1c01,Private/Parochial Elementary School,12,Private/Parochial Elementary and Secondary Schools,427,1,Day Care or Head Start Center Capacity,Children,NA,427,0,90,Proprietary,Private,50,NYS Education Department / Board of Regents ,NYSED,232,232,39,20,66,6900,3055990031,987980,171637,L,40.640274,-73.990243,0.9,street_center,,42nd St,Brooklyn,NY,Kings County,11219
7795,15000R135,5,SI,503,STATEN ISLAND COMMUNITY DISTRICT 3,5313,6,CRESCENT BEACH PARK,Tennyson Dr. bet.ween Hales Ave. and Wiman Ave.,NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,110.96,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,110.96,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,5053130006,943754,134668,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
6338,15000Q464,4,QN,414,QUEENS COMMUNITY DISTRICT 14,16057,46,BRANT POINT WILDLIFE SANCTUARY,Beach 72 St. bet. Bayfields Ave. and Hillmeyer Ave.,NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,19.556,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,19.556,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,4160570046,1039090,157039,L,40.72061,-74.00847,1,street_center,,Beach St,New York,NY,New York County,10013
16417,3865900160,1,MN,108,MANHATTAN COMMUNITY DISTRICT 8,1402,24,KENNEDY CHILD STUDY CENTER,151 E 67 St,10065,3804,Clinic Treatment - Developmental Disability,Clinic Treatment - Dev Disability,Outp Dev Disability Svc,7,DEVELOPMENTAL DISABILITIES SERVICES,4,Hospitals & Health Service Facilities,4h,Developmental Disabilities Service Facilities - Outpatient,4h03,Clinic Treatment,72,Mental Retardation and Developmental Disabilities Services - Non-Residential,NA,98,Unknown For This Record,NA,NA,NA,NA,91,Not For Profit,NFP,57,NYS Office for People with Developmental Disabilities ,NYS OPWDD,120,120,4,2,19,4100,1014020024,994221,218810,L,40.76714409,-73.96408305,1,rooftop,151,E 67th St,New York,NY,Bronx County,10065
